FernGully: The Last Rainforest,6.5,"Animation, Adventure, Family"
Hotel Transylvania: Transformania,6.0,"Animation, Adventure, Comedy"
Akira,8.0,"Animation, Action, Drama"
Cloudy with a Chance of Meatballs,6.9,"Animation, Adventure, Comedy"
Shrek the Third,6.1,"Animation, Adventure, Comedy"
Kung Fu Panda 3,7.1,"Animation, Action, Adventure"
Robots,6.4,"Animation, Adventure, Comedy"
Pocahontas,6.7,"Animation, Adventure, Drama"
Megamind,7.3,"Animation, Action, Comedy"
Flushed Away,6.6,"Animation, Action, Adventure"
Paws of Fury: The Legend of Hank,5.7,"Animation, Action, Comedy"
Cars 3,6.7,"Animation, Adventure, Comedy"
The Jungle Book,7.6,"Animation, Adventure, Comedy"
Cars 2,6.2,"Animation, Adventure, Comedy"
Ralph Breaks the Internet,7.0,"Animation, Adventure, Comedy"
The Lego Batman Movie,7.3,"Animation, Action, Adventure"
Chip 'n Dale: Rescue Rangers,7.0,"Animation, Action, Adventure"
Shrek Forever After,6.3,"Animation, Adventure, Comedy"
The Hunchback of Notre Dame,7.0,"Animation, Drama, Family"
The Croods: A New Age,6.9,"Animation, Adventure, Comedy"
Robin Hood,7.5,"Animation, Adventure, Comedy"
Space Jam,6.5,"Animation, Adventure, Comedy"
The Adventures of Tintin,7.3,"Animation, Action, Adventure"
Horton Hears a Who!,6.8,"Animation, Adventure, Comedy"
Hoodwinked!,6.5,"Animation, Adventure, Comedy"
The Secret Life of Pets,6.5,"Animation, Adventure, Comedy"
The Iron Giant,8.1,"Animation, Action, Adventure"
Meet the Robinsons,6.8,"Animation, Adventure, Comedy"
Kung Fu Panda 2,7.2,"Animation, Action, Adventure"
The Croods,7.2,"Animation, Adventure, Comedy"
Alvin and the Chipmunks,5.2,"Animation, Adventure, Comedy"
The Nightmare Before Christmas,7.9,"Animation, Family, Fantasy"
How to Train Your Dragon 2,7.8,"Animation, Action, Adventure"
Entergalactic,7.4,"Animation, Comedy, Music"
A Silent Voice: The Movie,8.1,"Animation, Drama"
Trolls World Tour,6.1,"Animation, Adventure, Comedy"
Finding Dory,7.3,"Animation, Adventure, Comedy"
The AristoCats,7.1,"Animation, Adventure, Comedy"
Chicken Run,7.1,"Animation, Adventure, Comedy"
Bolt,6.8,"Animation, Adventure, Comedy"
Isle of Dogs,7.8,"Animation, Adventure, Comedy"
Despicable Me 2,7.3,"Animation, Adventure, Comedy"
Kiki's Delivery Service,7.8,"Animation, Family, Fantasy"
The Road to El Dorado,6.9,"Animation, Adventure, Comedy"
Ghost in the Shell,7.9,"Animation, Action, Crime"
A Goofy Movie,6.9,"Animation, Adventure, Comedy"
Over the Hedge,6.7,"Animation, Adventure, Comedy"
Bee Movie,6.1,"Animation, Adventure, Comedy"
Snow White and the Seven Dwarfs,7.6,"Animation, Adventure, Family"
Home,6.6,"Animation, Adventure, Comedy"
Tom and Jerry,5.2,"Animation, Adventure, Comedy"
Red Shoes and the Seven Dwarfs,6.4,"Animation, Action, Adventure"
PAW Patrol: The Movie,6.1,"Animation, Action, Adventure"
The House,6.8,"Animation, Comedy, Drama"
Ponyo,7.6,"Animation, Adventure, Comedy"
Shark Tale,6.0,"Animation, Adventure, Comedy"
The Addams Family,5.8,"Animation, Comedy, Family"
Angry Birds,6.3,"Animation, Action, Adventure"
Alice in Wonderland,7.3,"Animation, Adventure, Comedy"
The Good Dinosaur,6.7,"Animation, Adventure, Comedy"
Onward,7.4,"Animation, Adventure, Comedy"
The Boss Baby,6.3,"Animation, Adventure, Comedy"
Dragon Ball Super: Super Hero,7.1,"Animation, Action, Adventure"
Dinosaur,6.4,"Animation, Adventure, Drama"
The Book of Life,7.2,"Animation, Adventure, Comedy"
Vivo,6.7,"Animation, Adventure, Comedy"
The First Slam Dunk,8.5,"Animation, Comedy, Drama"
A Scanner Darkly,7.0,"Animation, Comedy, Crime"
Belle,7.1,"Animation, Adventure, Drama"
Wendell & Wild,6.4,"Animation, Adventure, Comedy"
Beowulf,6.3,"Animation, Action, Adventure"
The Land Before Time,7.4,"Animation, Adventure, Drama"
Song of the South,7.0,"Animation, Comedy, Family"
Weathering with You,7.5,"Animation, Drama, Fantasy"
Kubo and the Two Strings,7.7,"Animation, Action, Adventure"
9,7.0,"Animation, Action, Adventure"
Cinderella,7.3,"Animation, Family, Fantasy"
Turbo,6.4,"Animation, Adventure, Comedy"
